,name,popularity,rating,adjustedrating,ingredientsHashed,ingredients(hashed)
43,Blue Mountain,642000,5.807535028068854,7,"989d4e11b4ba2808a2bcdf97271c9a6f 86def8609dacc58c53029e2cea0a5266 4ca90a18e9f0d1242171c3c66074714b d6dd8769c2796fa05a8e240859bc511d c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
44,Bluebird,1320000,6.12057393120585,8,"d7ad223a94b1cdb31734ad5fb25df4bd cbbf6d5cab373efb5f95205d1b85b1ed f1a5d44507ece41448b23f1edf556b37 2326d3967f280ca60e01be59c6da01c3 048bbe06830c79d2b1a4bbb8aba10293 56331d69d4a076151bd529ed6404f8d2 
",abc
45,Bobby Burns Cocktail,19400,4.2878017299302265,4,"74751ead02cd317f21763850048f9ca5 6f6933a566a195007a6f1b5784dc3e5b a0e800295b271ae5322b749afef9597e 56331d69d4a076151bd529ed6404f8d2 
",abc
46,Boomerang,1530000,6.184691430817598,8,"d7ad223a94b1cdb31734ad5fb25df4bd 992830de8ba8b14e8f55ad8fa0d01e53 2326d3967f280ca60e01be59c6da01c3 fd7f75775ac686f5e5ad3d77a5460c0a 048bbe06830c79d2b1a4bbb8aba10293 
",abc
47,Boston Sidecar,10700,4.02938377768521,4,"afdffda4e46a14d07503e44bca0f2b48 4c532b4eaea99aa1f9c4f0b1898d6fc5 cbbf6d5cab373efb5f95205d1b85b1ed fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
48,Boston Sour,6260,3.7965743332104296,3,"5cbb3871ab023a2971fb397ba92d9672 ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 0950210a45488b218b5ec9387827b69c ff71ff25b2b0033b0d9f68830728b4cc 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
49,Classic Old-Fashioned,175000,5.243038048686294,6,"2326d3967f280ca60e01be59c6da01c3 27634ff8002b12e75d98e07ccd005d18 f0dc7a91ef793fd0a59d9568168dec4d 5b014b2f353c899a48edbb22cf78b17f 909cea0c97058cfe2e3ea8d675cb08e1 048bbe06830c79d2b1a4bbb8aba10293 
",abc
50,Bourbon Sling,2950,3.469822015978163,3,"f0dc7a91ef793fd0a59d9568168dec4d 27634ff8002b12e75d98e07ccd005d18 c3e200cab562ee5bfa3c3ade2a3f5d8c 5b014b2f353c899a48edbb22cf78b17f 56331d69d4a076151bd529ed6404f8d2 
",abc
51,Bourbon Sour,85500,4.931966114728173,5,"5b014b2f353c899a48edbb22cf78b17f c3e200cab562ee5bfa3c3ade2a3f5d8c f0dc7a91ef793fd0a59d9568168dec4d 909cea0c97058cfe2e3ea8d675cb08e1 048bbe06830c79d2b1a4bbb8aba10293 
",abc
52,Boxcar,167000,5.222716471147583,6,"d7ad223a94b1cdb31734ad5fb25df4bd cbbf6d5cab373efb5f95205d1b85b1ed c3e200cab562ee5bfa3c3ade2a3f5d8c 3c497e915478d3ef451265d0a0b72a0b 0950210a45488b218b5ec9387827b69c 
",abc
53,Brandy Cobbler,9100,3.9590413923210934,4,"f0dc7a91ef793fd0a59d9568168dec4d 481c5a13509d5511286d01b9fc999e25 ff71ff25b2b0033b0d9f68830728b4cc 4c532b4eaea99aa1f9c4f0b1898d6fc5 048bbe06830c79d2b1a4bbb8aba10293 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
54,Brandy Flip,4980,3.6972293427597176,3,"4c532b4eaea99aa1f9c4f0b1898d6fc5 f04ba3c635d301c987d90fc75c71775b f0dc7a91ef793fd0a59d9568168dec4d 5e089e4017e8f0c4c07bce7354c8ba43 5b5ea2ebaf974c74d74cb80576c5aabb 
",abc
55,Brandy Sour,12400,4.093421685162235,4,"4c532b4eaea99aa1f9c4f0b1898d6fc5 ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 ff71ff25b2b0033b0d9f68830728b4cc 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
56,Caipirinha,3540000,6.549003262025788,8,"f0dc7a91ef793fd0a59d9568168dec4d fc1cebf02dc2ee68655f3e7bf1b84230 e068407191e8562b53c246343fa2ac6d 
",abc
57,California Lemonade,58400,4.7664128471124,5,"5cbb3871ab023a2971fb397ba92d9672 ff71ff25b2b0033b0d9f68830728b4cc fc1cebf02dc2ee68655f3e7bf1b84230 ac1d732fc1d905ad984d9b04f6a1ad91 3c497e915478d3ef451265d0a0b72a0b 1ea570efeed4f2920a78fa1811aa6103 
",abc
58,Casa Blanca,383000,5.583198773968623,7,"afdffda4e46a14d07503e44bca0f2b48 cbbf6d5cab373efb5f95205d1b85b1ed 58e12a94a9477dc279adaafff8604d1c fd7f75775ac686f5e5ad3d77a5460c0a 
",abc
59,Casino Royale,906000,5.957128197676813,7,"d7ad223a94b1cdb31734ad5fb25df4bd c3e200cab562ee5bfa3c3ade2a3f5d8c fd7f75775ac686f5e5ad3d77a5460c0a d65338d93defdf77c2bc409247425932 3f3e574c181f45eea2aa2548e75f4434 
",abc
60,Champagne Cocktail,10300000,7.012837224705172,9,"89b49e95b5604105c04f218f3e560380 f0dc7a91ef793fd0a59d9568168dec4d 2326d3967f280ca60e01be59c6da01c3 56331d69d4a076151bd529ed6404f8d2 e301d4839154bbf266d3362c898a3e4e 
",abc
61,Cherry Rum,71100,4.851869600729766,5,"afdffda4e46a14d07503e44bca0f2b48 6ac536ae1e7759810e2523864a98ef8a 5e089e4017e8f0c4c07bce7354c8ba43 
",abc
62,Chicago Fizz,7650,3.8836614351536176,3,"afdffda4e46a14d07503e44bca0f2b48 60aaf44d4b562252c04db7f98497e9aa ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 0950210a45488b218b5ec9387827b69c 1ea570efeed4f2920a78fa1811aa6103 
",abc
63,Chocolate Black Russian,15000,4.176091259055681,4,"c0bae48e76229e908077947a58f97c92 4ca90a18e9f0d1242171c3c66074714b 3fdc5b6d97be91c3ab0dd396b3d4774e 
",abc
64,City Slicker,95600,4.9804578922761005,5,"4c532b4eaea99aa1f9c4f0b1898d6fc5 cbbf6d5cab373efb5f95205d1b85b1ed c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
65,Clove Cocktail,12400,4.093421685162235,4,"74751ead02cd317f21763850048f9ca5 65a2beb8c3fc4d253b1b83c04f8a6f78 b9eadba3c35f7f89e93c92eb2c8d39b0 
",abc
66,Cuba Libre,3170000,6.501059262217751,8,"afdffda4e46a14d07503e44bca0f2b48 fc1cebf02dc2ee68655f3e7bf1b84230 916a17d53dff7bbd06635fac294e86eb 
",abc
67,Daiquiri,6450000,6.8095597146352675,9,"afdffda4e46a14d07503e44bca0f2b48 fc1cebf02dc2ee68655f3e7bf1b84230 ac1d732fc1d905ad984d9b04f6a1ad91 
",abc
68,Dragonfly,1560000,6.193124598354461,8,"d7ad223a94b1cdb31734ad5fb25df4bd 7d73dc0b6f7aeb20d99293fbdc5d6a6f fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
69,Dry Rob Roy,10200,4.008600171761918,4,"6f6933a566a195007a6f1b5784dc3e5b 992830de8ba8b14e8f55ad8fa0d01e53 56331d69d4a076151bd529ed6404f8d2 
",abc
70,Dubonnet Cocktail,14900,4.173186268412274,4,"09fe90850f6b468fa2d0b3aa80563e58 d7ad223a94b1cdb31734ad5fb25df4bd 2326d3967f280ca60e01be59c6da01c3 56331d69d4a076151bd529ed6404f8d2 
",abc
71,English Highball,3150,3.4983105537896004,3,"4c532b4eaea99aa1f9c4f0b1898d6fc5 d7ad223a94b1cdb31734ad5fb25df4bd 74751ead02cd317f21763850048f9ca5 1ea570efeed4f2920a78fa1811aa6103 56331d69d4a076151bd529ed6404f8d2 
",abc
72,English Rose Cocktail,66900,4.825426117767823,5,"d69d5873205810e716bf15acfa81a8b4 d7ad223a94b1cdb31734ad5fb25df4bd 992830de8ba8b14e8f55ad8fa0d01e53 3c497e915478d3ef451265d0a0b72a0b c3e200cab562ee5bfa3c3ade2a3f5d8c 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
73,Flying Dutchman,122000,5.086359830674748,6,"d7ad223a94b1cdb31734ad5fb25df4bd cbbf6d5cab373efb5f95205d1b85b1ed 
",abc
74,Flying Scotchman,3300,3.5185139398778875,3,"6f6933a566a195007a6f1b5784dc3e5b 74751ead02cd317f21763850048f9ca5 2326d3967f280ca60e01be59c6da01c3 9d3bce8eb5cec78e54d36dd0daf2bdc5 
",abc
75,Foxy Lady,168000,5.225309281725863,6,"bf19a4b5a2a24fe84d8f7052f75db565 c1ecb10adbf7e5165a24144da26865df 5e089e4017e8f0c4c07bce7354c8ba43 
",abc
76,"French ""75""",117000,5.068185861746161,6,"d7ad223a94b1cdb31734ad5fb25df4bd f0dc7a91ef793fd0a59d9568168dec4d c3e200cab562ee5bfa3c3ade2a3f5d8c 89b49e95b5604105c04f218f3e560380 909cea0c97058cfe2e3ea8d675cb08e1 048bbe06830c79d2b1a4bbb8aba10293 
",abc
77,Frisco Sour,10200,4.008600171761918,4,"5cbb3871ab023a2971fb397ba92d9672 a0e800295b271ae5322b749afef9597e ff71ff25b2b0033b0d9f68830728b4cc fc1cebf02dc2ee68655f3e7bf1b84230 ff71ff25b2b0033b0d9f68830728b4cc fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
78,Frozen Daiquiri,169000,5.227886704613674,6,"afdffda4e46a14d07503e44bca0f2b48 cbbf6d5cab373efb5f95205d1b85b1ed 58e12a94a9477dc279adaafff8604d1c f0dc7a91ef793fd0a59d9568168dec4d 7b75d91d2856e9e74fe7cfbb857dcf2f 583d6a9fe10d672474e2cdca476113b7 
",abc
79,Frozen Mint Daiquiri,2710,3.432969290874406,3,"afdffda4e46a14d07503e44bca0f2b48 58e12a94a9477dc279adaafff8604d1c ca8a196f97a48b2bb489f3e849a68418 f0dc7a91ef793fd0a59d9568168dec4d 
",abc
80,Frozen Pineapple Daiquiri,20300,4.307496037913213,4,"afdffda4e46a14d07503e44bca0f2b48 7855cca1372aed929a9ae2afb1011134 58e12a94a9477dc279adaafff8604d1c f0dc7a91ef793fd0a59d9568168dec4d 
",abc
81,Gentleman's Club,108000,5.033423755486949,6,"d7ad223a94b1cdb31734ad5fb25df4bd 4c532b4eaea99aa1f9c4f0b1898d6fc5 74751ead02cd317f21763850048f9ca5 481c5a13509d5511286d01b9fc999e25 
",abc
82,Gin And Tonic,1320000,6.12057393120585,8,"d7ad223a94b1cdb31734ad5fb25df4bd c34aa328cd98ab5e3e8faeda8737a957 fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
83,Gin Cooler,19500,4.290034611362518,4,"d7ad223a94b1cdb31734ad5fb25df4bd 1ea570efeed4f2920a78fa1811aa6103 ac1d732fc1d905ad984d9b04f6a1ad91 de043ea8f7daee76c7790088cccb8353 56331d69d4a076151bd529ed6404f8d2 
",abc
84,Gin Daisy,16800,4.225309281725863,4,"d7ad223a94b1cdb31734ad5fb25df4bd c3e200cab562ee5bfa3c3ade2a3f5d8c f0dc7a91ef793fd0a59d9568168dec4d 3c497e915478d3ef451265d0a0b72a0b 048bbe06830c79d2b1a4bbb8aba10293 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
85,Gin Fizz,1060000,6.02530586526477,7,"d7ad223a94b1cdb31734ad5fb25df4bd ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 1ea570efeed4f2920a78fa1811aa6103 
",abc
86,Gin Sling,26700,4.426511261364575,4,"d7ad223a94b1cdb31734ad5fb25df4bd ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 27634ff8002b12e75d98e07ccd005d18 51d228b346684561b4e133f6cbd7a226 
",abc
87,Gin Smash,83600,4.922206277439017,5,"d7ad223a94b1cdb31734ad5fb25df4bd 1ea570efeed4f2920a78fa1811aa6103 f0dc7a91ef793fd0a59d9568168dec4d ca8a196f97a48b2bb489f3e849a68418 909cea0c97058cfe2e3ea8d675cb08e1 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
88,Gin Sour,98200,4.99211148778695,5,"d7ad223a94b1cdb31734ad5fb25df4bd c3e200cab562ee5bfa3c3ade2a3f5d8c f0dc7a91ef793fd0a59d9568168dec4d 909cea0c97058cfe2e3ea8d675cb08e1 048bbe06830c79d2b1a4bbb8aba10293 
",abc
89,Gin Squirt,412,2.6148972160331345,1,"d7ad223a94b1cdb31734ad5fb25df4bd 3c497e915478d3ef451265d0a0b72a0b ac1d732fc1d905ad984d9b04f6a1ad91 7855cca1372aed929a9ae2afb1011134 97a89830e8903a601a9b3649e41b3358 1ea570efeed4f2920a78fa1811aa6103 
",abc
90,Gin Swizzle,25600,4.408239965311849,4,"58e12a94a9477dc279adaafff8604d1c f0dc7a91ef793fd0a59d9568168dec4d d7ad223a94b1cdb31734ad5fb25df4bd 2326d3967f280ca60e01be59c6da01c3 481c5a13509d5511286d01b9fc999e25 
",abc
91,Gin Toddy,22500,4.352182518111363,4,"d7ad223a94b1cdb31734ad5fb25df4bd 27634ff8002b12e75d98e07ccd005d18 ac1d732fc1d905ad984d9b04f6a1ad91 56331d69d4a076151bd529ed6404f8d2 
",abc
92,Godchild,233000,5.367355921026019,6,"4ca90a18e9f0d1242171c3c66074714b bf19a4b5a2a24fe84d8f7052f75db565 84faf42eadc9ca92b9f836bf04ddd2f7 
",abc
93,Godfather,732000,5.864511081058392,7,"6f6933a566a195007a6f1b5784dc3e5b bf19a4b5a2a24fe84d8f7052f75db565 
",abc
94,Godmother,1260000,6.1003705451175625,7,"4ca90a18e9f0d1242171c3c66074714b bf19a4b5a2a24fe84d8f7052f75db565 
",abc
95,Grass Skirt,232000,5.365487984890899,6,"d7ad223a94b1cdb31734ad5fb25df4bd cbbf6d5cab373efb5f95205d1b85b1ed 2f2c7d452dc57db7c574ae0229ab3df3 3c497e915478d3ef451265d0a0b72a0b 7855cca1372aed929a9ae2afb1011134 
",abc
96,Harvey Wallbanger,1620000,6.209515014542631,8,"4ca90a18e9f0d1242171c3c66074714b 21ede24ed5a905238688922e8dd9c061 d6dd8769c2796fa05a8e240859bc511d 
",abc
97,Havana Cocktail,20500,4.311753861055754,4,"afdffda4e46a14d07503e44bca0f2b48 2f2c7d452dc57db7c574ae0229ab3df3 c3e200cab562ee5bfa3c3ade2a3f5d8c 
",abc
98,Hawaiian Cocktail,210000,5.3222192947339195,6,"d7ad223a94b1cdb31734ad5fb25df4bd cbbf6d5cab373efb5f95205d1b85b1ed 2f2c7d452dc57db7c574ae0229ab3df3 
",abc
99,Highland Fling Cocktail,422,2.625312450961674,1,"6f6933a566a195007a6f1b5784dc3e5b 74751ead02cd317f21763850048f9ca5 d65338d93defdf77c2bc409247425932 2b8b384cdd92d3e81c43b2d43de8c247 
",abc
100,Imperial Fizz,5610,3.7489628612561616,3,"afdffda4e46a14d07503e44bca0f2b48 5cbb3871ab023a2971fb397ba92d9672 ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 1ea570efeed4f2920a78fa1811aa6103 
",abc
101,Irish Spring,48500,4.685741738602264,5,"dadcc745c46712222abb833304838f2a 47dc7aa595f1dc17f0d7be7e2d437b82 d6dd8769c2796fa05a8e240859bc511d 39370980210a916b3af361cda80f2ac8 909cea0c97058cfe2e3ea8d675cb08e1 7b75d91d2856e9e74fe7cfbb857dcf2f 
",abc
102,Jack Rose Cocktail,15800,4.198657086954422,4,"543d6e99c54b2d4a4017a265bc45b0c6 3c497e915478d3ef451265d0a0b72a0b fc1cebf02dc2ee68655f3e7bf1b84230 
",abc
103,Japanese Fizz,2870,3.4578818967339924,3,"5cbb3871ab023a2971fb397ba92d9672 ff71ff25b2b0033b0d9f68830728b4cc ac1d732fc1d905ad984d9b04f6a1ad91 60aaf44d4b562252c04db7f98497e9aa 0950210a45488b218b5ec9387827b69c 1ea570efeed4f2920a78fa1811aa6103 
",abc
104,Jewel Of The Nile,97700,4.9898945637187735,5,"d7ad223a94b1cdb31734ad5fb25df4bd 73b8d93ea35e00969e557ae733954dc5 20f4f374c86e6b5ffdea81a9e6dc96de 
",abc
105,John Collins,228000,5.357934847000454,6,"5b014b2f353c899a48edbb22cf78b17f c3e200cab562ee5bfa3c3ade2a3f5d8c f0dc7a91ef793fd0a59d9568168dec4d 481c5a13509d5511286d01b9fc999e25 048bbe06830c79d2b1a4bbb8aba10293 909cea0c97058cfe2e3ea8d675cb08e1 
",abc
106,Kamikaze,1740000,6.2405492482825995,8,"4ca90a18e9f0d1242171c3c66074714b cbbf6d5cab373efb5f95205d1b85b1ed 58e12a94a9477dc279adaafff8604d1c 
",abc
107,Kentucky B And B,256,2.4082399653118496,1,"5b014b2f353c899a48edbb22cf78b17f a0e800295b271ae5322b749afef9597e 
",abc
108,Kentucky Colonel,13900,4.143014800254095,4,"5b014b2f353c899a48edbb22cf78b17f a0e800295b271ae5322b749afef9597e 56331d69d4a076151bd529ed6404f8d2 
",abc
109,Lady Love Fizz,1600,3.2041199826559246,2,"d7ad223a94b1cdb31734ad5fb25df4bd 5e089e4017e8f0c4c07bce7354c8ba43 ac1d732fc1d905ad984d9b04f6a1ad91 ff71ff25b2b0033b0d9f68830728b4cc 0950210a45488b218b5ec9387827b69c 1ea570efeed4f2920a78fa1811aa6103 
",abc
110,Loch Lomond,160000,5.204119982655925,6,"6f6933a566a195007a6f1b5784dc3e5b 98150e14e96c016533cdf9a8e94481c2 992830de8ba8b14e8f55ad8fa0d01e53 56331d69d4a076151bd529ed6404f8d2 
",abc
111,London Town,1240000,6.093421685162235,7,"d7ad223a94b1cdb31734ad5fb25df4bd fd7f75775ac686f5e5ad3d77a5460c0a d65338d93defdf77c2bc409247425932 
",abc
112,Lone Tree Cocktail,661,2.82020145948564,1,"74751ead02cd317f21763850048f9ca5 d7ad223a94b1cdb31734ad5fb25df4bd 
",abc
