,name,popularity,rating,adjustedrating,ingredientsHashed,ingredients(hashed)
232,Frappe,1250000,6.096910013008056,7,"3c09b8d09553786b799e02306e55c7ba e89b2cbb7d11825a67459af2249064de f0dc7a91ef793fd0a59d9568168dec4d 
",abc
233,Iced Coffee,3780000,6.577491799837225,8,"3c09b8d09553786b799e02306e55c7ba f0dc7a91ef793fd0a59d9568168dec4d 27634ff8002b12e75d98e07ccd005d18 e89b2cbb7d11825a67459af2249064de 
",abc
234,Iced Coffee Fillip,1200,3.0791812460476247,2,"c0bae48e76229e908077947a58f97c92 3c09b8d09553786b799e02306e55c7ba 
",abc
235,Masala Chai,262000,5.418301291319746,6,"27634ff8002b12e75d98e07ccd005d18 485c264d44820de10d8cfa64441c143e 63e3363dabd9fb306c357d01617c0e57 3d57198addd188382a33964c6e0df6e6 6abb0d46699436b70e3087c8494ac909 fb4c74d473f876067270dc59d7d799e9 8dbe32f19478d31287e460f2f4dcf69c f0dc7a91ef793fd0a59d9568168dec4d e89b2cbb7d11825a67459af2249064de 
",abc
236,Melya,36500,4.562292864456475,5,"8d471cef54bac1226d079347b4d9dd63 8dc0611245a871ac51bbeebb85f33a58 4fa15b70570993ab85a7d936355d639a 
",abc
237,Spiking coffee,636,2.803457115648414,1,"3c09b8d09553786b799e02306e55c7ba fb4c74d473f876067270dc59d7d799e9 
",abc
238,Thai Coffee,50800,4.705863712283919,5,"3c09b8d09553786b799e02306e55c7ba 80766a792c83776a1302211303533d76 3d57198addd188382a33964c6e0df6e6 f0dc7a91ef793fd0a59d9568168dec4d 0f8384548265a6fe80ec572769f67d9c 583d6a9fe10d672474e2cdca476113b7 
",abc
239,Thai Iced Coffee,152000,5.181843587944773,6,"3c09b8d09553786b799e02306e55c7ba f0dc7a91ef793fd0a59d9568168dec4d df772146f2037081819360e9fbdf519b 3d57198addd188382a33964c6e0df6e6 
",abc
240,Thai Iced Tea,152000,5.181843587944773,6,"485c264d44820de10d8cfa64441c143e 27634ff8002b12e75d98e07ccd005d18 04eef3e2693373e4c200e0fafdc37460 583d6a9fe10d672474e2cdca476113b7 ca8a196f97a48b2bb489f3e849a68418 
",abc
241,Absinthe #2,10800000,7.033423755486949,9,"4ca90a18e9f0d1242171c3c66074714b f0dc7a91ef793fd0a59d9568168dec4d c678ec93a5a7ab0dc8b1dc5fc013e942 56e09179e61a2e89f8a019837502ec50 1592647ae5d1d5e694f1d2f606c570df 
",abc
